name,about,category_name
sumsung,"6000ua  256stock 4g ram ryzon 3 5000 series",phone
"sumsung m30","2000ua  128stock 2g ram ryzon 2 1000series",phone
"sumsung a20","7000ua  256stock 6g ram ryzon 4 4000series",phone
"Wiegand and Sons Ultra HD","Velit quia dolor deserunt quia error tempora numquam quaerat ipsum libero vero ab quod odit eum minima et perferendis inventore. It is perfect for sports enthusiasts.",tv
"Aquamarine Cargo Pants","Nostrum quae id aperiam officia ipsam assumenda perferendis est sit est. It is perfect for professional needs.",pants
"Blue Cotton Tee","Esse ut ad quia corrupti eius temporibus culpa et commodi vero quam. It is perfect for daily use.",T-shirt
"Peru Cargo Pants","Dolorum natus ad et velit sit laboriosam quisquam aut rerum eligendi accusantium. It is perfect for sports enthusiasts.",pants
"Red Jeans","Consequatur aliquid quidem voluptas veritatis aut natus autem cupiditate est. It is perfect for tech lovers.",pants
"Gerlach-Zemlak Max","Quia consequatur ut adipisci nesciunt occaecati fugit quas omnis dolorem et voluptatum provident sunt error aut assumenda non molestiae. It is perfect for casual wear.",phone
"Streich, Russel and Moore Running Shoes","Maiores vel omnis expedita consequatur quos placeat quibusdam aperiam et illum magnam commodi officia temporibus illo reiciendis. It is perfect for tech lovers.",shoes
"Swaniawski Ltd Pro","Ut impedit ut quae placeat placeat quod iure magni explicabo vero natus non modi impedit incidunt esse earum eum vel. It is perfect for daily use.",phone
"Tremblay, Jacobson and Von Gaming Laptop","Consectetur delectus ex sunt quia sit aut est voluptatem consequuntur magnam minus aliquam amet. It is perfect for professional needs.",laptop
"Bashirian Ltd Notebook","Quo saepe fuga dicta quod inventore quod dolor ut inventore dolor eligendi beatae iste libero vel voluptas esse ut. It is perfect for daily use.",laptop
"Watsica-Schoen Max","Iusto quam voluptatem hic quia temporibus rerum aperiam aliquid et consequatur dolorum sit eum occaecati excepturi dolor autem. It is perfect for tech lovers.",phone
"Green Polo Shirt","Voluptatum ut saepe possimus ad in et ducimus aut id velit qui qui officiis quia. It is perfect for casual wear.",T-shirt
"LightCyan V-neck","Qui non labore ut quo dolorum nemo inventore aspernatur nostrum deserunt perferendis natus quidem ut nesciunt. It is perfect for casual wear.",T-shirt
"GhostWhite Joggers","Ipsa enim non fugiat necessitatibus aut rem numquam repellat eaque alias. It is perfect for sports enthusiasts.",pants
"Gainsboro Polo Shirt","Ab asperiores corrupti fugit officia quia doloribus accusamus nemo sed consequatur repellendus non. It is perfect for sports enthusiasts.",T-shirt
"Kirlin Inc Sneakers","Neque sunt iusto accusantium dignissimos adipisci nobis nesciunt et iste dolorem sequi rerum. It is perfect for professional needs.",shoes
"LightSeaGreen Polo Shirt","Dolores eum culpa voluptas modi optio ullam facilis aut adipisci praesentium ut distinctio ipsa explicabo qui numquam reiciendis autem dolore delectus ut. It is perfect for professional needs.",T-shirt
"Kuphal-Crist Sandals","Possimus iusto voluptatem adipisci eum veniam eaque hic molestias est. It is perfect for casual wear.",shoes
"Rempel and Sons Smart TV","Enim veritatis reiciendis sunt voluptas id in ab laborum delectus nihil quaerat fugiat aut eos cupiditate sapiente blanditiis quod. It is perfect for casual wear.",tv
"Fahey-Nolan Mini","Aperiam deleniti dolorum iste rerum sit eos provident provident totam. It is perfect for casual wear.",phone
"Bednar Ltd Pro","Rerum necessitatibus quae temporibus voluptatem et et beatae rerum qui ipsa saepe. It is perfect for tech lovers.",phone
